State,Participation,Evidence-Based Reading and Writing,Math,Total
Alabama,50.0,545.0,514.0,1058.0
Alaska,58.0,539.0,524.0,1063.0
Arizona,42.0,522.0,512.0,1035.0
Arkansas,27.0,560.0,531.0,1091.0
California,43.0,501.0,492.0,994.0
Colorado,23.0,557.0,542.0,1099.0
Connecticut,49.0,512.0,494.0,1005.0
Delaware,37.0,510.0,497.0,1007.0
DistrictofColumbia,45.0,480.0,471.0,951.0
Florida,30.0,510.0,494.0,1004.0
Georgia,22.0,531.0,517.0,1048.0
Hawaii,51.0,529.0,520.0,1048.0
Idaho,26.0,530.0,511.0,1042.0
Illinois,45.0,506.0,501.0,1008.0
Indiana,42.0,501.0,497.0,998.0
Iowa,64.0,560.0,543.0,1103.0
Kansas,46.0,558.0,546.0,1104.0
Kentucky,49.0,568.0,542.0,1110.0
Louisiana,55.0,556.0,522.0,1079.0
Maine,47.0,501.0,489.0,991.0
Maryland,40.0,518.0,507.0,1025.0
Massachusetts,53.0,519.0,518.0,1036.0
Michigan,34.0,509.0,497.0,1006.0
Minnesota,70.0,563.0,561.0,1124.0
Mississippi,47.0,542.0,514.0,1057.0
Missouri,56.0,573.0,551.0,1124.0
Montana,72.0,533.0,524.0,1057.0
Nebraska,60.0,553.0,535.0,1088.0
Nevada,21.0,534.0,520.0,1054.0
New Hampshire,50.0,530.0,520.0,1050.0
New Jersey,46.0,504.0,503.0,1007.0
New Mexico,26.0,495.0,488.0,983.0
New York,47.0,516.0,513.0,1030.0
North Carolina,53.0,516.0,512.0,1028.0
North Dakota,77.0,543.0,537.0,1081.0
Ohio,51.0,535.0,527.0,1061.0
Oklahoma,56.0,532.0,508.0,1040.0
Oregon,34.0,525.0,513.0,1038.0
Pennsylvania,51.0,510.0,502.0,1012.0
Rhode Island,39.0,496.0,488.0,985.0
South Carolina,20.0,525.0,505.0,1030.0
South Dakota,71.0,555.0,547.0,1102.0
Tennessee,45.0,572.0,547.0,1119.0
Texas,43.0,489.0,490.0,979.0
Utah,68.0,567.0,552.0,1119.0
Vermont,69.0,526.0,507.0,1033.0
Virginia,39.0,524.0,507.0,1031.0
Washington,48.0,513.0,509.0,1022.0
WestVirginia,54.0,545.0,517.0,1062.0
Wisconsin,69.0,545.0,533.0,1078.0
Wyoming,68.0,563.0,541.0,1104.0
