,has_remod,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,House Style_2Story,House Style_Split,Central Air_Y,Bedroom AbvGr_1,Bedroom AbvGr_2,Bedroom AbvGr_3,Bedroom AbvGr_>=4,TotRms AbvGrd_6,TotRms AbvGrd_7,TotRms AbvGrd_<=4,TotRms AbvGrd_>=8,Mo Sold_spring,Mo Sold_summer,Mo Sold_winter,Yr Sold_2007,Yr Sold_2008,Yr Sold_2009,Yr Sold_2010,total_baths_1,total_baths_2,total_baths_>=3,lot_area_frontage,Mas Vnr Area,Total Bsmt SF,Gr Liv Area,Garage Area,outdoor_SF,age_since_remodel,age_since_built,Heating QC,house_exter_score,fireplace_score,garage_basement_score,kitchen_score,SalePrice
0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,634880.0,289.0,725.0,1479.0,475.0,44.0,5.0,34.0,5.0,98.0,0.0,0.0,4.0,130500
1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,494156.0,132.0,913.0,2122.0,559.0,74.0,12.0,13.0,5.0,84.0,3.0,0.0,4.0,220000
2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,538696.0,0.0,1057.0,1057.0,246.0,52.0,3.0,57.0,3.0,84.0,0.0,49.0,4.0,109000
3,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,715546.0,0.0,384.0,1444.0,400.0,100.0,3.0,4.0,4.0,60.0,0.0,20.25,3.0,174000
4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1167270.0,0.0,676.0,1445.0,484.0,59.0,17.0,110.0,3.0,84.0,0.0,12.25,3.0,138500
5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2259404.0,0.0,1517.0,1888.0,578.0,0.0,8.0,44.0,5.0,84.0,4.0,20.25,4.0,190000
6,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,128625.0,82.0,547.0,1072.0,525.0,44.0,0.0,1.0,4.0,66.0,0.0,20.25,3.0,140000
7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,634880.0,180.0,1188.0,1188.0,531.0,0.0,51.0,51.0,2.0,60.0,0.0,0.0,3.0,142000
8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,634880.0,0.0,924.0,924.0,420.0,324.0,55.0,55.0,3.0,60.0,0.0,49.0,3.0,112500
9,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,812420.0,192.0,1040.0,2080.0,504.0,335.0,38.0,38.0,3.0,60.0,6.0,12.25,2.0,135000
10,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,35280.0,232.0,483.0,987.0,264.0,0.0,37.0,37.0,3.0,66.0,0.0,49.0,3.0,85400
11,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,479232.0,0.0,1208.0,1208.0,632.0,163.0,1.0,1.0,5.0,84.0,0.0,0.0,4.0,183600
12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3168000.0,0.0,994.5,2016.0,576.0,0.0,2.0,129.0,5.0,84.0,3.0,12.25,3.0,131000
13,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,63480.0,456.0,960.0,1607.0,480.0,169.0,8.0,9.0,5.0,91.0,0.0,12.25,4.0,200000
14,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,712398.0,0.0,1351.0,1361.0,610.0,50.0,1.0,1.0,5.0,84.0,0.0,0.0,4.0,193000
15,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,940602.0,0.0,1430.0,1430.0,624.0,0.0,5.0,6.0,5.0,60.0,0.0,0.0,4.0,173500
16,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,155414.0,0.0,624.0,1344.0,513.0,0.0,58.0,92.0,2.0,60.0,0.0,2.7889,3.0,98000
17,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,705280.0,0.0,1121.0,1121.0,480.0,80.0,46.0,46.0,3.0,66.0,0.0,12.25,3.0,139000
18,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,581987.0,148.0,660.0,1285.0,528.0,138.0,30.0,30.0,5.0,66.0,3.0,0.0,3.0,143500
19,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,622080.0,0.0,756.0,1547.0,614.0,214.0,1.0,1.0,5.0,72.0,0.0,12.25,4.0,215200
20,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,950916.0,0.0,894.0,894.0,450.0,0.0,39.0,39.0,4.0,60.0,1.0,20.25,3.0,129000
21,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,226560.0,0.0,1501.0,1659.0,499.0,271.0,9.0,9.0,5.0,91.0,5.0,20.25,5.0,278000
22,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1325301.0,0.0,1209.0,2253.0,575.0,385.0,0.0,1.0,5.0,91.0,4.0,20.25,5.0,344133
23,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,634880.0,0.0,1168.0,1187.0,420.0,504.0,3.0,18.0,5.0,91.0,0.0,20.25,3.0,185000
