,has_remod,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,House Style_2Story,House Style_Split,Central Air_Y,Bedroom AbvGr_1,Bedroom AbvGr_2,Bedroom AbvGr_3,Bedroom AbvGr_>=4,TotRms AbvGrd_6,TotRms AbvGrd_7,TotRms AbvGrd_<=4,TotRms AbvGrd_>=8,Mo Sold_spring,Mo Sold_summer,Mo Sold_winter,Yr Sold_2007,Yr Sold_2008,Yr Sold_2009,Yr Sold_2010,total_baths_1,total_baths_2,total_baths_>=3,lot_area_frontage,Mas Vnr Area,Total Bsmt SF,Gr Liv Area,Garage Area,outdoor_SF,age_since_remodel,age_since_built,Heating QC,house_exter_score,fireplace_score,garage_basement_score,kitchen_score,SalePrice
0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,,289.0,725.0,1479,475.0,44,5,34,5,98,0,0.0,4,130500
1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,494156.0,132.0,913.0,2122,559.0,74,12,13,5,84,3,0.0,4,220000
2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,538696.0,0.0,1057.0,1057,246.0,52,3,57,3,84,0,49.0,4,109000
3,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,715546.0,0.0,384.0,1444,400.0,100,3,4,4,60,0,20.25,3,174000
4,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1167270.0,0.0,676.0,1445,484.0,59,17,110,3,84,0,12.25,3,138500
5,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2259404.0,0.0,1517.0,1888,578.0,0,8,44,5,84,4,20.25,4,190000
6,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,128625.0,82.0,547.0,1072,525.0,44,0,1,4,66,0,20.25,3,140000
7,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,,180.0,1188.0,1188,531.0,0,51,51,2,60,0,0.0,3,142000
8,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,,0.0,924.0,924,420.0,324,55,55,3,60,0,49.0,3,112500
9,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,812420.0,192.0,1040.0,2080,504.0,335,38,38,3,60,6,12.25,2,135000
10,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,35280.0,232.0,483.0,987,264.0,0,37,37,3,66,0,49.0,3,85400
11,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,479232.0,0.0,1208.0,1208,632.0,163,1,1,5,84,0,0.0,4,183600
12,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,3168000.0,0.0,0.0,2016,576.0,0,2,129,5,84,3,12.25,3,131000
13,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,63480.0,456.0,960.0,1607,480.0,169,8,9,5,91,0,12.25,4,200000
14,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,712398.0,0.0,1351.0,1361,610.0,50,1,1,5,84,0,0.0,4,193000
15,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,940602.0,0.0,1430.0,1430,624.0,0,5,6,5,60,0,0.0,4,173500
16,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,155414.0,0.0,624.0,1344,513.0,0,58,92,2,60,0,2.7889,3,98000
17,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,705280.0,0.0,1121.0,1121,480.0,80,46,46,3,66,0,12.25,3,139000
18,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,581987.0,148.0,660.0,1285,528.0,138,30,30,5,66,3,0.0,3,143500
19,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,622080.0,0.0,756.0,1547,614.0,214,1,1,5,72,0,12.25,4,215200
20,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,950916.0,0.0,894.0,894,450.0,0,39,39,4,60,1,20.25,3,129000
21,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,226560.0,0.0,1501.0,1659,499.0,271,9,9,5,91,5,20.25,5,278000
22,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1325301.0,,1209.0,2253,575.0,385,0,1,5,91,4,20.25,5,344133
23,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,,0.0,1168.0,1187,420.0,504,3,18,5,91,0,20.25,3,185000
24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3465000.0,0.0,1056.0,1056,572.0,264,51,51,3,60,0,20.25,3,145000
25,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,972716.0,3.0,1453.0,1453,530.0,337,48,48,5,72,3,0.0,3,187500
26,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,549250.0,0.0,894.0,894,336.0,560,1,45,5,91,4,49.0,3,138500
27,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,,0.0,942.0,1938,240.0,40,13,71,5,66,4,49.0,4,198000
28,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,618750.0,0.0,957.0,1991,0.0,0,1,112,2,77,0,0.0,6,119600
29,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,483840.0,0.0,672.0,924,576.0,0,1,58,5,84,1,12.25,3,122900
